A,word,letter,reading,stated,r_exact,lambda2,inf_exact,inf,sup_exact,sup,verdict,literal_note,certificate,notes,bruteforce,data_ok,ndata
A026363,"0->11, 1->101; start 0, K=13 (limit word = fixed point of sigma^1 from letter 1)",1,"a(n) = position of n-th 1 in the fixed point of 11,101 (identification from the entry's comments; checked against data)","-1 < n*r - a(n) < 2, R = (1 + sqrt(3))/2",1/2+1/2*sqrt(3),-0.732050807569,-1,-1.0,1/2+1/2*sqrt(3),1.3660254037844386467637231707529362,"BOUNDARY (holds; inf = lower bound, never attained)",,,,"first 73205081 terms: min -0.99502032718 (n=15196672), max 1.362380030275 (n=41518081)",True,63
A026364,"0->11, 1->101; start 0, K=13 (limit word = fixed point of sigma^1 from letter 1)",0,"a(n) = position of n-th 0 in the fixed point of 11,101 (identification from the entry's comments; checked against data)","-1 < n*r - a(n) < 4, R = 2 + sqrt(3)",2+sqrt(3),-0.732050807569,-1,-1.0,2+sqrt(3),3.7320508075688772935274463415058724,"BOUNDARY (holds; inf = lower bound, never attained)",,,,"first 26794919 terms: min -0.99004065436 (n=15196672), max 3.718446088422 (n=5562369)",True,53
A026367,"0->11, 1->110; start 0, K=13 (limit word = fixed point of sigma^1 from letter 1)",1,"a(n) = position of n-th 1 in the fixed point of 11,110 (identification from the entry's comments; checked against data)","-1 < n*r - a(n) < 2, R = (1 + sqrt(3))/2",1/2+1/2*sqrt(3),-0.732050807569,-1/2-1/6*sqrt(3),-0.78867513459481288225457439025097873,1+1/3*sqrt(3),1.5773502691896257645091487805019575,PROVED,,,,"first 73205081 terms: min -0.78446581984 (n=47940949), max 1.571600238304 (n=17547606)",True,63
A026368,"0->11, 1->110; start 0, K=13 (limit word = fixed point of sigma^1 from letter 1)",0,"a(n) = position of n-th 0 in the fixed point of 11,110 (identification from the entry's comments; checked against data)","-2 < n*r - a(n) < 4, R = 2 + sqrt(3)",2+sqrt(3),-0.732050807569,-1-1/3*sqrt(3),-1.5773502691896257645091487805019575,2+2/3*sqrt(3),3.1547005383792515290182975610039149,PROVED,,,,"first 26794919 terms: min -1.56164089266 (n=6422869), max 3.143200476609 (n=17547606)",True,53
A045671,"0->11, 1->1110; start 0, K=10 (limit word = fixed point of sigma^1 from letter 1)",1,"a(n) = position of n-th 1 in the fixed point of 11,1110 (identification from the entry's comments; checked against data)","-1 < n*r - a(n) < 2, R = (1 + sqrt(17))/4",1/4+1/4*sqrt(17),-0.561552812809,-9/32-1/32*sqrt(17),-0.41009705080055189218191905799918991,27/32+3/32*sqrt(17),1.2302911524016556765457571739975697,PROVED,,,"n=0 term: a(0)=0, D(0)=0, inside bounds: True","first 78077641 terms: min -0.40988282735 (n=41736016), max 1.229996730433 (n=57360668)",True,56
A045672,"0->11, 1->1110; start 0, K=10 (limit word = fixed point of sigma^1 from letter 1)",0,"a(n) = position of n-th 0 in the fixed point of 11,1110 (identification from the entry's comments; checked against data)","-1 < n*r - a(n) < 3, R = (5 + sqrt(17))/2",5/2+1/2*sqrt(17),-0.561552812809,-9/16-1/16*sqrt(17),-0.82019410160110378436383811599837981,27/16+3/16*sqrt(17),2.4605823048033113530915143479951394,PROVED,,,"n=0 term: a(0)=0, D(0)=0, inside bounds: True","first 21922359 terms: min -0.81914550221 (n=16105522), max 2.459819336679 (n=11718489)",True,56
A086398,"0->10, 1->1000; start 0, K=10 (limit word = fixed point of sigma^1 from letter 1)",1,"a(n) = position of n-th 1 in the fixed point of 10,1000 (identification from the entry's comments; checked against data)","-1 < n*(1 + sqrt(3)) - a(n) < 4, R = (1 + sqrt(3))",1+sqrt(3),-0.732050807569,-1,-1.0,2+sqrt(3),3.7320508075688772935274463415058724,"BOUNDARY (holds; inf = lower bound, never attained)",,,,"first 36602541 terms: min -0.99004065436 (n=15196672), max 3.719780387732 (n=33919745)",True,62
A283963(u),"0->1, 1->1010; start 0, K=10 (limit word = fixed point of sigma^1 from letter 1)",0,"u(n) = position of n-th 0 in the word (literal ""# 0's <= n"" makes the statement trivially false)","-1 < n*r - u(n) < 2, R = (3+sqrt(3))/2",3/2+1/2*sqrt(3),-0.732050807569,-1/2-1/6*sqrt(3),-0.78867513459481288225457439025097873,1+1/3*sqrt(3),1.5773502691896257645091487805019575,PROVED,"literal ""u(n) = # 0s <= n"" (v: # 1s) makes the statement trivially false; intended u/v = positions",,,"first 42264973 terms: min -0.78264313308 (n=27181909), max 1.571600238304 (n=17547606)",True,86
A283963(v),"0->1, 1->1010; start 0, K=10 (limit word = fixed point of sigma^1 from letter 1)",1,"v(n) = position of n-th 1 in the word (literal ""# 1's <= n"" makes the statement trivially false)","-1 < n*s - v(n) < 2, R = sqrt(3)",sqrt(3),-0.732050807569,-1+1/3*sqrt(3),-0.42264973081037423549085121949804254,1+1/3*sqrt(3),1.5773502691896257645091487805019575,PROVED,"literal ""u(n) = # 0s <= n"" (v: # 1s) makes the statement trivially false; intended u/v = positions",,,"first 57735027 terms: min -0.41844041605 (n=23970475), max 1.572934537615 (n=37131179)",True,86
A283964,"0->1, 1->1010; start 0, K=10 (limit word = fixed point of sigma^1 from letter 1)",0,a(n) = position of n-th 0 in A283963 (1-based),"-1 < n*r - a(n) < 2, R = (3+sqrt(3))/2",3/2+1/2*sqrt(3),-0.732050807569,-1/2-1/6*sqrt(3),-0.78867513459481288225457439025097873,1+1/3*sqrt(3),1.5773502691896257645091487805019575,PROVED,,,,"first 42264973 terms: min -0.78264313308 (n=27181909), max 1.571600238304 (n=17547606)",True,61
